Date,Rank,Signal,Zum,Nate,Google
202402120042,6,레버쿠젠,권성동 클린스만 감독,세작,설특선 영화
202402120042,7,귀경길 새벽,지창욱 흡연,너를 만났다,다이어
202402120042,8,이천수 코인 부인,이종원 이하늬,설 특선영화,축구 감독 클린스만
202402120042,9,비공식작전,승리 캄보디아,미운 우리 새끼,전희철 감독
202402120042,10,라파 지상전 이스라엘,제천 약초,성혁,로또복권 1106회 당첨번호
202402120051,1,나선욱,이준석 이낙연,나선욱,레버쿠젠
202402120051,2,리바운드 영화,귀경길 새벽,범죄도시 2,지창욱 흡연
202402120051,3,지창욱 흡연,라파 지상전 이스라엘,살인자 O난감,리버풀
202402120051,4,이준석 이낙연,이천수 코인 부인,리바운드 영화,이천수 코인
202402120051,5,범죄도시 2,임영웅,비공식작전,PSG
202402120051,6,레버쿠젠,권성동 클린스만 감독,설 특선영화,설특선 영화
202402120051,7,귀경길 새벽,지창욱 흡연,세작,다이어
202402120051,8,이천수 코인 부인,이종원 이하늬,성혁,축구 감독 클린스만
202402120051,9,살인자 O난감,승리 캄보디아,너를 만났다,전희철 감독
202402120051,10,라파 지상전 이스라엘,제천 약초,미운 우리 새끼,로또복권 1106회 당첨번호
202402120128,1,범죄도시 2,이준석 이낙연,살인자 O난감,레버쿠젠
202402120128,2,살인자 O난감,귀경길 새벽,범죄도시 2,지창욱 흡연
202402120128,3,리바운드 영화,라파 지상전 이스라엘,리바운드 영화,리버풀
202402120128,4,지창욱 흡연,이천수 코인 부인,성혁,PSG
202402120128,5,이준석 이낙연,임영웅,설 특선영화,이천수 코인
202402120128,6,레버쿠젠,권성동 클린스만 감독,토트넘,설특선 영화
202402120128,7,귀경길 새벽,지창욱 흡연,랄랄,다이어
202402120128,8,이천수 코인 부인,이종원 이하늬,비공식작전,김정은
202402120128,9,성혁,승리 캄보디아,미우새 김정은 이동건,축구 감독 클린스만
202402120128,10,라파 지상전 이스라엘,제천 약초,오킹,전희철 감독
202402120135,1,범죄도시 2,이준석 이낙연,살인자 O난감,레버쿠젠
202402120135,2,살인자 O난감,귀경길 새벽,범죄도시 2,지창욱 흡연
202402120135,3,리바운드 영화,라파 지상전 이스라엘,리바운드 영화,리버풀
202402120135,4,지창욱 흡연,이천수 코인 부인,성혁,PSG
202402120135,5,이준석 이낙연,임영웅,권은비,이천수 코인
202402120135,6,레버쿠젠,권성동 클린스만 감독,설 특선영화,설특선 영화
202402120135,7,귀경길 새벽,지창욱 흡연,랄랄,다이어
202402120135,8,이천수 코인 부인,이종원 이하늬,미운 우리 새끼,김정은
202402120135,9,성혁,승리 캄보디아,토트넘,축구 감독 클린스만
202402120135,10,라파 지상전 이스라엘,제천 약초,미우새 김정은 이동건,전희철 감독
202402120142,1,살인자 O난감,이준석 이낙연,살인자 O난감,레버쿠젠
202402120142,2,범죄도시 2,귀경길 새벽,범죄도시 2,지창욱 흡연
202402120142,3,리바운드 영화,라파 지상전 이스라엘,리바운드 영화,리버풀
202402120142,4,지창욱 흡연,이천수 코인 부인,성혁,PSG
202402120142,5,이준석 이낙연,임영웅,권은비,이천수 코인
202402120142,6,레버쿠젠,권성동 클린스만 감독,설 특선영화,다이어
202402120142,7,귀경길 새벽,지창욱 흡연,랄랄,김정은
202402120142,8,이천수 코인 부인,이종원 이하늬,미운 우리 새끼,축구 감독 클린스만
202402120142,9,성혁,승리 캄보디아,토트넘,전희철 감독
202402120142,10,라파 지상전 이스라엘,제천 약초,미우새 김정은 이동건,토트넘
202402120151,1,살인자 O난감,이준석 이낙연,살인자 O난감,레버쿠젠
202402120151,2,범죄도시 2,귀경길 새벽,범죄도시 2,지창욱 흡연
202402120151,3,지창욱 흡연,라파 지상전 이스라엘,성혁,리버풀
202402120151,4,이준석 이낙연,이천수 코인 부인,세작,PSG
202402120151,5,리바운드 영화,임영웅,랄랄,이천수 코인
202402120151,6,레버쿠젠,권성동 클린스만 감독,권은비,다이어
202402120151,7,귀경길 새벽,지창욱 흡연,리바운드 영화,김정은
202402120151,8,이천수 코인 부인,이종원 이하늬,토트넘,축구 감독 클린스만
202402120151,9,성혁,승리 캄보디아,설 특선영화,전희철 감독
202402120151,10,라파 지상전 이스라엘,제천 약초,미운 우리 새끼,토트넘
202402120224,1,살인자 O난감,이준석 이낙연,살인자 O난감,레버쿠젠
202402120224,2,범죄도시 2,귀경길 새벽,성혁,지창욱 흡연
202402120224,3,지창욱 흡연,라파 지상전 이스라엘,너를 만났다,리버풀
202402120224,4,이준석 이낙연,이천수 코인 부인,범죄도시 2,PSG
202402120224,5,성혁,임영웅,설 특선영화,이천수 코인
202402120224,6,레버쿠젠,권성동 클린스만 감독,토트넘,다이어
202402120224,7,귀경길 새벽,지창욱 흡연,건국전쟁,김정은
202402120224,8,이천수 코인 부인,이종원 이하늬,이천수,축구 감독 클린스만
202402120224,9,너를 만났다,승리 캄보디아,권은비,전희철 감독
202402120224,10,라파 지상전 이스라엘,제천 약초,리바운드 영화,토트넘
202402120232,1,살인자 O난감,이준석 이낙연,살인자 O난감,레버쿠젠
202402120232,2,성혁,귀경길 새벽,성혁,지창욱 흡연
202402120232,3,지창욱 흡연,라파 지상전 이스라엘,설 특선영화,리버풀
202402120232,4,이준석 이낙연,이천수 코인 부인,토트넘,PSG
202402120232,5,이천수 코인 부인,임영웅,건국전쟁,이천수 코인
202402120232,6,너를 만났다,권성동 클린스만 감독,너를 만났다,다이어
202402120232,7,레버쿠젠,지창욱 흡연,권은비,김정은
202402120232,8,귀경길 새벽,이종원 이하늬,미우새 김정은 이동건,축구 감독 클린스만
202402120232,9,범죄도시 2,승리 캄보디아,클린스만,전희철 감독
202402120232,10,설 특선영화,제천 약초,이천수,토트넘
202402120241,1,살인자 O난감,이준석 이낙연,성혁,레버쿠젠
202402120241,2,성혁,귀경길 새벽,살인자 O난감,지창욱 흡연
202402120241,3,지창욱 흡연,라파 지상전 이스라엘,설 특선영화,리버풀
202402120241,4,이준석 이낙연,이천수 코인 부인,너를 만났다,PSG
202402120241,5,이천수 코인 부인,임영웅,권은비,이천수 코인
202402120241,6,설 특선영화,권성동 클린스만 감독,토트넘,다이어
202402120241,7,레버쿠젠,지창욱 흡연,미우새 김정은 이동건,김정은
202402120241,8,귀경길 새벽,이종원 이하늬,건국전쟁,축구 감독 클린스만
202402120241,9,권성동 클린스만 감독,승리 캄보디아,이천수,전희철 감독
